title,price,location_city,location_state,id,url,photo_url,miles
"Pro-rider scooter","$40","Vista","CA","1538200337534008","https://www.facebook.com/marketplace/item/1538200337534008","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/517934070_1586670702292948_9106192765526726563_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=efP3b5-P97kQ7kNvwF2wzZT&_nc_oc=AdkjVOL0OMBPizlRWyItkJ_l6YuAN2pI3wjurZpbW6EXjHVo-zT6BPz7a8VRO0_Twuhk0ipXWL0kAV3E0CcfBzcx&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfTuM7GNIA0GtdT3v9rnqQ8VvLkkh1PkToTlcGJaB-1G8A&oe=68911D2C","N/A"
"Super Cycles & Scooters Battery Scooter","$80","Vista","CA","1301115451136133","https://www.facebook.com/marketplace/item/1301115451136133","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/474728673_664846286072961_5578196280908458419_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=247b10&_nc_ohc=CKkh4WzLWZQQ7kNvwH6-uiI&_nc_oc=AdkWaMG3qCl5Eu1ngsiUZhbSplOUlbAFn4uXUFEdlhAQg3lnzqKz0aKVhwjymuPZPG9kMaYWHrlaNUcnELsgWpX-&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfTsOHLYUWCrsub162L5h0spxCERq0YGGXlhWaII8zhrDA&oe=689118BA","N/A"
"Scooter Madd Gear Kruzer","$35","El Cajon","CA","731961006393117","https://www.facebook.com/marketplace/item/731961006393117","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/524926367_24676337381957837_782808909999359856_n.jpg?stp=c0.53.261.261a_dst-jpg_p261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=247b10&_nc_ohc=KQ5jeBHocsMQ7kNvwEWc2WJ&_nc_oc=AdmLcpGdxkXLnt74BzqIng7P8_9iaWc-IN8IavFjgvyffSkr5CTEpe59_3bKlCSAbL3hFVPBLQTEbuj9G8Ek78Xj&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfTS4TuwFa15Nmw2cXaNVzC4xuu9FSsCx4eu4Eq5Glp4AQ&oe=68910672","N/A"
"New Scooter for Sale","$20","Chula Vista","CA","24027142240300270","https://www.facebook.com/marketplace/item/24027142240300270","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/516554169_1097537372437265_6712335976545028902_n.jpg?stp=c0.101.261.261a_dst-jpg_p261x260_tt6&_nc_cat=111&ccb=1-7&_nc_sid=247b10&_nc_ohc=b_3Bp4C1PWEQ7kNvwEwmMgR&_nc_oc=Adn-xg3Y_7iJbWs8nTqTahln8ktSMJ20MnVSO79KJCTtm_lPiwNB6yzm6P0Wuxp9KL85f_KVoCTLvsf5Ff62gGtU&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=8iePOELBsIWrHZWpmJMlkg&oh=00_AfS7oWPxyStTogtWiaNajHymxUIWZyaigzEGVWmS4miGPQ&oe=68911079","N/A"
"Ninebot T15 scooter","$100","Chula Vista","CA","1076632917248877","https://www.facebook.com/marketplace/item/1076632917248877","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/518239814_3017325808442341_6562103943776759757_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=9vM1O1-qlqUQ7kNvwEGnkYh&_nc_oc=AdlkE0Ax5SogepIbLXCTjWsh80eq0po0upVS5PBfeVOs6KK93bclDP5nIkKS4UWYVzRFvxiXhe9Pu9uRqXvHINmE&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=yzKoQpQbEXyDvj4wz816Mg&oh=00_AfST-L9BWW5OLzUKBSxePfj6CT_cnGfJ4aqTXSBpuN0GYQ&oe=68912763","N/A"
"Envy pro scooter","$100","Ramona","CA","1427994434830388","https://www.facebook.com/marketplace/item/1427994434830388","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/482126097_1534362280575367_6323324624000526747_n.jpg?stp=c0.151.261.261a_dst-jpg_p261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=247b10&_nc_ohc=2gy41lK4BeEQ7kNvwHI17Iu&_nc_oc=Adna5QYpMbh1ew9aJt91j98ZQgcnD8GWMlB72S7VnRozUUYZaiYDDm6Lj67ZX7JIaydd0n6rOjacpKNfG2RVXNrL&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfSd-gg-DP8EAPwUhWwP6X_uJv1eJGOgdTzlLdwiEGKmiA&oe=68913874","N/A"
"Hover-1 electric scooter.","$100","La Mesa","CA","4292750277712079","https://www.facebook.com/marketplace/item/4292750277712079","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/521741886_1309673134055679_4569290035134065467_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=eJ1wW6ztc3AQ7kNvwHX0iNA&_nc_oc=AdlXYxV2EPhCAJAB5rSS5CxdR_iziaD1INXGZ053kcnhOcBSgmz5W9MYpdKtTdObXw7LFd5DzUAXO6CJu_Ncoj5k&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=yzKoQpQbEXyDvj4wz816Mg&oh=00_AfRSjQqLZXSO8FmD6-Gjw_Sj-4IwHrjzaZuN3JDmemAEfA&oe=689115AA","N/A"
"Segway Ninebot MAX electric scooter - powered by 350W-1000W motor","$89","National City","CA","1147688023189022","https://www.facebook.com/marketplace/item/1147688023189022","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/452268933_442435365440397_884834072651002662_n.jpg?stp=c0.20.261.261a_dst-jpg_p261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=247b10&_nc_ohc=KMPn_LPwQ6YQ7kNvwFHvy_4&_nc_oc=Adm82hBpvUTD6B-Zaq0MZRPQtW14qEJo8x6L8APcLuVG6CAXcN_JRmZ9nwPw32THo-gSLC3E6fajn15d4X63q2DH&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=yzKoQpQbEXyDvj4wz816Mg&oh=00_AfTBpkbeKrAyN60fYiYNuNbRTK940RUMep4KStw6tMVHRA&oe=689107EC","N/A"
"electric moped scooter","$100","Escondido","CA","676526834114781","https://www.facebook.com/marketplace/item/676526834114781","https://scontent-lax3-1.xx.fbcdn.net/v/t45.5328-4/374636221_9942038829201790_5336567859485356937_n.jpg?stp=c0.159.261.261a_dst-jpg_p261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=247b10&_nc_ohc=wFxv8PE1WEcQ7kNvwH0Xadd&_nc_oc=AdkU6HVSHx4KsQiQ-4UJ8Go0HeGwkz8j7IGXzInvNoFLS3JNE55a08Cp14DUiTXQZifHp8cWQb_kP6AiOKTmo7UA&_nc_zt=23&_nc_ht=scontent-lax3-1.xx&_nc_gid=5KVxBeVqWcG5kZQFJYD0yA&oh=00_AfSsamtXs4S6jEvzmn1DUpz58JWTY_lGR1vEk-Cc8MLkXg&oe=68912F3C","N/A"
"Scooter Primo Globber","$10","San Diego","CA","1781689583230049","https://www.facebook.com/marketplace/item/1781689583230049","https://scontent-lax3-2.xx.fbcdn.net/v/t45.5328-4/520255628_742536808737191_8078562911079332163_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=247b10&_nc_ohc=08F-meTx9T8Q7kNvwEFhhuv&_nc_oc=Adni2zqfowPVpp2YLCKBfw_N0ffxXXWQdFLg2XEnVMppUoP2rtu5_PPeZBVUR_msazYVhZyNqasOVFJOAQD4_tsl&_nc_zt=23&_nc_ht=scontent-lax3-2.xx&_nc_gid=VrksCYV4pN1d8D51JXkzZg&oh=00_AfSEgBlILFWo4cbnEEYIEzfVl9eeiLdrOYOeG1Lc0briSA&oe=689130E6","N/A"
